"PERIODO","COD_CENCOSUD","COD_PROVEEDOR","DESCRIPCION_PRODUCTO","MARCA","ESTACION","TEMPORADA","ESTADO_PRODUCTO","DIVISION","DEPARTAMENTO","SUBDEPARTAMENTO","CLASE","ESTILO","CATPROVN1","CATPROVN2","CATPROVN3","CATPROVN4","CATPROVN5","COD_LOCAL","DESCRIPCION_LOCAL","FORMATO","TIPO_LOCAL","ESTADO_LOCAL","TIPO","VTA_PERIODO(u)","VTA_PERIODO_COSTO($)","VTA_PERIODO_PUBLICO($)"
2026-03-21,134973006,214P3-C2,P3 BOXER LARGO C2/SURTI/XXL,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P3 BOXER LARGO C2 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,1,7995,15990
2026-03-21,387492002,610SPP5-C1,P5 SOCKS ALG SPORT/SURTI/TU,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,CALCETINES,CALCETIN SPORT,P5 SOCKS ALG SPORT 610C1 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,1,5495,10990
2026-03-21,397254005,208PKP4-C20,P4 BOXER ALG 208P/SURTI/XL,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P4 BOXER ALG 208PKC20 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,1,9995,19990
2026-03-21,376278003,511P5-C11,P5 SLIP COLOR 511/SURTI/M,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,SLIP,P5 SLIP COLOR 511-C11 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,1,7495,14990
2026-03-21,995392004,M208AHKP3C3,P3 BOXER HK M208A/SURTI/M,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,CORSETERIA,CALZONES,PACK CALZON,P3 BOXER HK M208AP3C3 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,1,7995,15990
2026-03-21,601378003,700P3-C6,P3 BOXER SEAMLESS/SURTI/M,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P3 BOXER SEAMLESS 700C6-TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00022,Paris Marina Arauco,PARIS,Local,Activo,NO CLASIFICADO,2,13990,25182
2026-03-21,147428004,M206AP5C1,P5 PANTALETA M206A/SURTI/M,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,CORSETERIA,CALZONES,PACK CALZON,P5 PANTALETA M206AP5C1 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00022,Paris Marina Arauco,PARIS,Local,Activo,NO CLASIFICADO,1,9995,19990
2026-03-21,277859003,L208CP3C1,P3 BOXER COL L208/SURTI/M,LEGACY,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P3 BOXER COL L208P3C1 LEG,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00022,Paris Marina Arauco,PARIS,Local,Activo,NO CLASIFICADO,1,4995,9990
2026-03-21,376278004,511P5-C11,P5 SLIP COLOR 511/SURTI/L,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,SLIP,P5 SLIP COLOR 511-C11 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00022,Paris Marina Arauco,PARIS,Local,Activo,NO CLASIFICADO,2,14990,29981
2026-03-21,504064002,491-C2,PANTUFLA AZU 491C/AZOS1/M,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ACCESORIOS,PANTUFLAS,PANTUFLA AZU 491C2 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00022,Paris Marina Arauco,PARIS,Local,Activo,NO CLASIFICADO,1,6495,12990
